Generation 371: 22.7223:       1888Generation 371: 0.584412
Generation 372: 22.7223:       1885Generation 372: 0.584412
Generation 373: 22.7223:       1882Generation 373: 0.584412
Generation 374: 22.7223:       1879Generation 374: 0.584412
Generation 375: 22.7223:       1877Generation 375: 0.584412
Generation 376: 22.7223:       1874Generation 376: 0.584412
Generation 377: 22.7223:       1871Generation 377: 0.584412
Generation 378: 22.7223:       1868Generation 378: 0.584412
Generation 379: 22.7223:       1865Generation 379: 0.584412
Generation 380: 22.7223:       1862Generation 380: 0.584412
Generation 381: 22.7223:       1859Generation 381: 0.584412
Generation 382: 22.7223:       1856Generation 382: 0.584412
Generation 383: 22.7223:       1853Generation 383: 0.584412
Generation 384: 22.7223:       1850Generation 384: 0.584412
Generation 385: 22.7223:       1847Generation 385: 0.584412
Generation 386: 22.7223:       1844Generation 386: 0.584412
Generation 387: 22.7223:       1841Generation 387: 0.584412
Generation 388: 22.7223:       1838Generation 388: 0.584412
Generation 389: 22.7223:       1835Generation 389: 0.584412
Generation 390: 22.7223:       1832Generation 390: 0.584412
Generation 391: 22.7223:       1829Generation 391: 0.584412
Generation 392: 22.7223:       1826Generation 392: 0.584412
Generation 393: 22.7223:       1823Generation 393: 0.584412
Generation 394: 22.7223:       1820Generation 394: 0.584412
Generation 395: 22.7223:       1817Generation 395: 0.584412
Generation 396: 22.7223:       1814Generation 396: 0.584412
Generation 397: 22.7223:       1811Generation 397: 0.584412
Generation 398: 22.7223:       1808Generation 398: 0.584412
Generation 399: 22.7223:       1805Generation 399: 0.584412
Generation 400: 22.7223:       1802Generation 400: 0.584412
Generation 401: 22.7223:       1799Generation 401: 0.584412
Generation 402: 22.7223:       1796Generation 402: 0.584412
Generation 403: 22.7223:       1793Generation 403: 0.584412
Generation 404: 22.7223:       1790Generation 404: 0.584412
Generation 405: 22.7223:       1787Generation 405: 0.584412
Generation 406: 22.7223:       1784Generation 406: 0.584412
Generation 407: 22.7223:       1781Generation 407: 0.584412
Generation 408: 22.7223:       1778Generation 408: 0.584412
Generation 409: 22.7223:       1775Generation 409: 0.584412
Generation 410: 22.7223:       1772Generation 410: 0.584412
Generation 411: 22.7223:       1769Generation 411: 0.584412
Generation 412: 22.7223:       1766Generation 412: 0.584412
Generation 413: 22.7223:       1763Generation 413: 0.584412
Generation 414: 22.7223:       1760Generation 414: 0.584412
Generation 415: 22.7223:       1757Generation 415: 0.584412
Generation 416: 22.7223:       1754Generation 416: 0.584412
Generation 417: 22.7223:       1751Generation 417: 0.584412
Generation 418: 22.7223:       1748Generation 418: 0.584412
Generation 419: 22.7223:       1745Generation 419: 0.584412
Generation 420: 22.7223:       1742Generation 420: 0.584412
Generation 421: 22.7223:       1739Generation 421: 0.584412
Generation 422: 22.7223:       1736Generation 422: 0.584412
Generation 423: 22.7223:       1733Generation 423: 0.584412
Generation 424: 22.7223:       1730Generation 424: 0.584412
Generation 425: 22.7223:       1727Generation 425: 0.584412
Generation 426: 22.7223:       1724Generation 426: 0.584412
Generation 427: 22.7223:       1721Generation 427: 0.584412
Generation 428: 22.7223:       1718Generation 428: 0.584412
Generation 429: 22.7223:       1715Generation 429: 0.584412
Generation 430: 22.7223:       1712Generation 430: 0.584412
Generation 431: 22.7223:       1709Generation 431: 0.584412
Generation 432: 22.7223:       1706Generation 432: 0.584412
Generation 433: 22.7223:       1703Generation 433: 0.584412
Generation 434: 22.7223:       1700Generation 434: 0.584412
Generation 435: 22.7223:       1697Generation 435: 0.584412
Generation 436: 22.7223:       1694Generation 436: 0.584412
Generation 437: 22.7223:       1691Generation 437: 0.584412
Generation 438: 22.7223:       1688Generation 438: 0.584412
Generation 439: 22.7223:       1685Generation 439: 0.584412
Generation 440: 22.7223:       1682Generation 440: 0.584412
Generation 441: 22.7223:       1679Generation 441: 0.584412
Generation 442: 22.7223:       1676Generation 442: 0.584412
Generation 443: 22.7223:       1673Generation 443: 0.584412
Generation 444: 22.7223:       1670Generation 444: 0.584412
Generation 445: 22.7223:       1667Generation 445: 0.584412
Generation 446: 22.7223:       1664Generation 446: 0.584412
Generation 447: 22.7223:       1661Generation 447: 0.584412
Generation 448: 22.7223:       1658Generation 448: 0.584412
Generation 449: 22.7223:       1655Generation 449: 0.584412
Generation 450: 22.7223:       1652Generation 450: 0.584412
Generation 451: 22.7223:       1649Generation 451: 0.584412
Generation 452: 22.7223:       1646Generation 452: 0.584412
Generation 453: 22.7223:       1643Generation 453: 0.584412
Generation 454: 22.7223:       1640Generation 454: 0.584412
Generation 455: 22.7223:       1637Generation 455: 0.584412
Generation 456: 22.7223:       1634Generation 456: 0.584412
Generation 457: 22.7223:       1631Generation 457: 0.584412
Generation 458: 22.7223:       1628Generation 458: 0.584412
Generation 459: 22.7223:       1625Generation 459: 0.584412
Generation 460: 22.7223:       1622Generation 460: 0.584412
Generation 461: 22.7223:       1619Generation 461: 0.584412
